song_title,artist,rank_s,rank_t,rank_b,tempo
Enchanted,Taylor Swift,61,,,81.975
WA DA DA,Kep1er,191,,,126.004
Miénteme,"TINI, Maria Becerra",41,,,92.003
Parada Louca,"Mari Fernandez, Marcynho Sensação",107,,,166.034
Fair Trade (with Travis Scott),"Drake, Travis Scott",3,,,167.937
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",52,,,119.976
goosebumps,Travis Scott,13,,,130.049
Sigue,"J Balvin, Ed Sheeran",45,,,87.99
RUMBATÓN,Daddy Yankee,58,,,95.004
chaotic,Tate McRae,83,,,81.493
make up sex (feat. blackbear),"Machine Gun Kelly, blackbear",91,,,131.986
Soy El Unico,Yahritza Y Su Esencia,97,,,84.396
Feel My Rhythm,Red Velvet,114,,,157.964
Just A Cloud Away,Pharrell Williams,115,,,112.555
Everlong,Foo Fighters,164,,,158.066
REMIX,Daddy Yankee,166,,,100.062
emo girl (feat. WILLOW),"Machine Gun Kelly, WILLOW",111,,,165.012
"jealousy, jealousy",Olivia Rodrigo,17,,,163.929
PARA SIEMPRE,"Daddy Yankee, Sech",193,,,90.015
Just the Way You Are,Bruno Mars,133,,,109.021
Love Yourself,Justin Bieber,62,,,100.418
Daylight,Harry Styles,10,,,145.5
Little Freak,Harry Styles,8,,,141.96
True Love,"Kanye West, XXXTENTACION",24,,,84.042
Grapejuice,Harry Styles,11,,,182.928
Satellite,Harry Styles,14,,,138.984
N95,Kendrick Lamar,3,,,139.956
Love Of My Life,Harry Styles,15,,,118.057
Cinema,Harry Styles,13,,,105.993
Daydreaming,Harry Styles,16,,,113.971
Keep Driving,Harry Styles,19,,,164.948
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",8,,,100.988
Boyfriends,Harry Styles,22,,,118.029
ACORDA PEDRINHO,Jovem Dionisio,77,,,124.016
Un Verano Sin Ti,Bad Bunny,20,,,187.844
Enséñame a Bailar,Bad Bunny,27,,,105.009
Die Young (feat. 347aidan),"Sleepy Hallow, 347aidan",97,,,77.471
El Apagón,Bad Bunny,28,,,117.765
SUPERMODEL,Måneskin,89,,,120.983
Agosto,Bad Bunny,30,,,115.018
Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",116,,,127.034
Iris,The Goo Goo Dolls,124,,,155.925
That That (prod. & feat. SUGA of BTS),"PSY, SUGA",21,,,129.969
Rich Spirit,Kendrick Lamar,17,,,95.977
Dua Lipa,Jack Harlow,37,,,158.022
PUFFIN ON ZOOTIEZ,Future,40,,,124.992
En El Radio Un Cochinero,Victor Cibrian,148,,,154.028
TUS LÁGRIMAS,"Mora, Sech",93,,,173.963
París,"Morat, Duki",130,,,138.014
Adore You,Harry Styles,6,,,99.048
FEARLESS,LE SSERAFIM,149,,,103.971
10 Things I Hate About You,Leah Kate,117,,,153.967
LOVE DIVE,IVE,51,,,117.941
Balanço da Rede,"Matheus Fernandes, Xand Avião",171,,,140.072
San Lucas,Kevin Kaarl,149,,,91.511
Silent Hill,"Kendrick Lamar, Kodak Black",21,,,140.07
United In Grief,Kendrick Lamar,11,,,85.63
Beautiful Girl,Luciano,59,,,139.901
ZOOM,Jessi,89,,,100.012
When You're Gone,Shawn Mendes,21,,,147.148
Run BTS,BTS,11,,,77.004
For Youth,BTS,30,,,116.855
Born Singer,BTS,43,,,157.937
Cash In Cash Out,"Pharrell Williams, 21 Savage, Tyler, The Creator",53,,,119.971
Pass The Dutchie,Musical Youth,85,,,149.724
So Good,Halsey,95,,,164.998
Nos Comemos (feat. Ozuna),"Tiago PZK, Ozuna",140,,,92.017
Me and Your Mama,Childish Gambino,158,,,117.996
Antes de Perderte,Duki,173,,,110.031
295,Sidhu Moose Wala,141,,,91.366
Boy With Luv (feat. Halsey),"BTS, Halsey",3,,,119.947
SLOW DANCING IN THE DARK,Joji,75,,,88.964
In My Head,Lil Tjay,30,,,143.049
Me Arrepentí,"Ak4:20, Pailita, Cris Mj",80,,,92.031
Si Quieren Frontear,"Duki, De La Ghetto, Quevedo",113,,,81.536
Falling,Harry Styles,29,,,110.011
up at night (feat. justin bieber),"Kehlani, Justin Bieber",131,,,100.012
Golden,Harry Styles,44,,,139.863
Fim de Semana no Rio,Teto,139,,,118.868
Still Life,BIGBANG,148,,,118.06
When I Was Your Man,Bruno Mars,181,,,145.494
Sign of the Times,Harry Styles,14,,,119.972
The Night We Met,Lord Huron,55,,,87.01
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",144,,,78.558
212,"Chefin, Mainstreet",89,,,154.037
Watercolor Eyes - From “Euphoria” An HBO Original Series,Lana Del Rey,90,,,120.443
Hrs & Hrs,Muni Long,119,,,139.885
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",108,,,70.956
Swim,Chase Atlantic,134,,,120.134
Waiting On A Miracle,Stephanie Beatriz,155,,,190.066
Problemón,"Alvaro Diaz, Rauw Alejandro",158,,,91.906
Christmas Tree,V,100,,,139.009
Jocelyn Flores,XXXTENTACION,7,,,134.021
Chance,Paulo Londra,56,,,137.915
psychofreak (feat. WILLOW),"Camila Cabello, WILLOW",71,,,179.989
Vampiro,"Matuê, WIU, Teto",82,,,114.994
Right On,Lil Baby,103,,,165.991
That's Hilarious,Charlie Puth,112,,,108.039
No Ouvidinho,Felipe Amorim,154,,,124.018
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",167,,,116.047
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",19,,,95.927
With you,"Jimin, HA SUNG WOON",32,,,149.898
Flowers,Lauren Spencer Smith,72,,,66.165
İmdat,cakal,97,,,133.967
We Made It,"t-low, Miksu / Macloud",99,,,116.049
2step (feat. Lil Baby),"Ed Sheeran, Lil Baby",131,,,95.055
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),"Pusha T, Lil Uzi Vert, Don Toliver",184,,,106.726
Photograph,Ed Sheeran,41,,,107.989
Hold That Heat (feat. Travis Scott),"Southside, Future, Travis Scott",196,,,130.045
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",14,,,152.869
Count Me Out,Kendrick Lamar,24,,,133.999
Savior,"Kendrick Lamar, Baby Keem, Sam Dew",29,,,124.84
